Sentence,FK Reading Ease,FOG Scale,SMOG Index,ARI,CL Index,LW Formula,DC Score,Readability Consensus,Spache Formula
"A flamboyant farmworker organizer who called himself a modern-day Emiliano Zapata has been slain in a brazen ambush that also killed 14 members of his family and staff, officials said Saturday.",31.55,18.85,0.0,18.8,13.24,23.5,12.31,19.0,7.706774193548387
A flotilla of rescue vessels continued its search Saturday for nine people feared dead at sea following an air collision between a Coast Guard aircraft and a Marine Corps helicopter.,41.03,16.0,0.0,17.6,12.72,20.0,10.39,15.0,7.362333333333334
A former chief of the state human services agency has decided not to accept a new job offered by Gov. Pat Quinn to head an expanded trade office in Africa.,73.17,8.67,0.0,5.9,6.08,7.5,9.64,7.0,4.960666666666667
"A former government chief scientific adviser, Sir David King, also said that Nutt had gone too far .",54.22,11.51,0.0,10.1,9.74,12.0,9.12,10.0,4.753647058823529
A former top executive at hedge fund firm ValueAct Capital is one of seven people charged with trading on inside information in Acxiom Corp.,38.66,14.6,0.0,13.6,11.03,16.0,12.06,14.0,6.372999999999999
"After a few minor partitioning struggles, it is up and running fine.",59.3,8.13,0.0,6.9,8.4,6.0,8.18,8.0,4.680999999999999
"After a few seconds, you should see a new icon for your printer.",92.12,5.2,0.0,3.9,4.16,5.5,7.93,4.0,3.995076923076923
"After Afghan President Hamid Karzai fell short of the 50 percent required to avoid a runoff, a second round was hastily scheduled.",66.07,10.62,0.0,12.9,10.91,12.0,12.62,11.0,5.895545454545454
"After all, average investors aren't likely to sit down and read an 18-page contract.",57.27,8.46,0.0,9.4,9.91,7.0,8.84,9.0,4.655857142857142
"After all, it's building its new 3-million-square-foot headquarters in Santa Clara - enough to house 11,000 workers.",55.24,8.9,0.0,16.0,15.77,10.5,11.34,16.0,4.7075
"* After all these years, Bush is still a millstone around Blair's neck.",84.68,4.8,0.0,7.7,8.4,5.5,8.18,8.0,3.247666666666666
"After another crushing loss, Washington State coach Paul Wulff took away the almost bowl-like atmosphere as at least one positive.",51.18,14.0,0.0,14.7,14.04,14.0,9.37,14.0,5.379
"After a week in which Ashcroft's complex finances and use of offshore tax havens have come under renewed scrutiny, opposition MPs condemned David Cameron for allowing the peer to attend crucial meetings with Britain's closest and most important ally as the Tories shape foreign policy in preparation for government.",21.74,23.68,0.0,28.7,14.75,31.5,13.48,13.0,10.556163265306122
"""After Beijing was selected, as soon as the ink on the contract was dry, the International Olympic Committee ceded control of the Games to the Communist Party of China,"" said Wallechinsky.",40.01,18.85,0.0,18.1,11.73,20.5,10.78,11.0,7.706774193548387
"After Chanel's barnyard spring 2010 extravaganza, it's only natural for Vogue to hit the farm for November's environment issue.",43.73,13.92,0.0,15.1,14.45,12.5,12.06,12.0,6.23378947368421
"After checked all log files it doesn't say has a too high frequency, so I can't understand...",71.14,9.15,0.0,8.4,6.67,10.5,7.27,8.0,3.741882352941176
"After Conrad announced her decision to bail on TV in the hopes of leading a more private life focused on her fashion career, producers brought in Conrad's old schoolmate, Kristin Cavallari, as a replacement.",45.43,18.31,0.0,19.7,12.14,21.0,12.75,13.0,8.668294117647058
"After consulting with all three parties that make up the national unity government, delegation head Oldemiro Baloi, the Mozambican Foreign Minister, told the media.",30.2,17.93,0.0,18.3,16.13,18.0,12.06,18.0,7.447999999999999
"After finishing 2-11 last season in Wulff's first year, the Cougars have four games left against Arizona, UCLA, Oregon State and Washington.",66.07,12.44,0.0,15.1,12.53,13.0,11.9,13.0,5.504636363636363
"After going to some issues, I got XMMS working on Ubuntu.",68.77,4.4,0.0,4.2,5.26,4.5,9.92,5.0,4.7354545454545445
"After helping her, he set off to return to his sailboat, which was anchored at the Avalon harbor.",70.13,7.2,0.0,8.5,7.25,8.0,7.16,8.0,4.8103333333333325
"After last week's fiasco, when an eastern span patch job fell apart after a mere seven weeks - we certainly hope so.",67.08,10.3,0.0,10.4,7.83,13.0,8.44,8.0,4.209523809523809
"After Nichols connected with Tyler Hart for a 38-yard touchdown pass to give the Eagles a 7-2 lead, Johnson then intercepted Hubel for the second time in the first quarter.",57.95,14.67,0.0,16.0,10.17,17.0,11.44,13.0,6.502333333333333
"After over eight hours use, with push email and Exchange active, WiFi and Bluetooth turned on, and plenty of use, we were still seeing 30-percent remaining charge.",69.45,12.28,0.0,15.9,11.15,14.5,10.24,11.0,5.920074074074073
"After police did not oppose bail, Mr Zdenkowski set it at $10,000 and imposed strict conditions on Corben's freedom.",60.65,9.71,0.0,12.4,11.08,10.5,12.89,10.0,5.781157894736841
"After reading many of your articles and Sarah Palin's facebook page, I knew it was time to get off the couch!",84.0,10.3,0.0,9.0,6.5,11.5,7.69,7.0,4.619047619047619
"After reading Squinky's how to I copy/pasted his /etc/ppp/peers/tmobile , gc89chat files it was 3 files.",64.71,6.0,0.0,14.0,13.45,9.0,13.85,14.0,4.100666666666667
"After school, he had picked up a plastic jug of kerosene for his mother, which he stowed along with his green backpack.",82.99,8.8,0.0,10.5,7.78,11.0,8.32,8.0,4.722818181818182
"After she did so, the company wrote back saying it was reorganizing the department and would get back to her.",59.64,12.0,0.0,9.8,8.24,13.0,7.0,10.0,4.949
"After some google search, I found that people all mentioned that   in /etc/X11/xorg.conf :  There is a section called ServerFlags",60.65,7.6,0.0,14.6,13.58,9.0,12.06,8.0,4.875894736842104
"After that, the rounds of final inspections begin.",63.36,8.2,0.0,7.9,10.11,4.0,9.95,8.0,4.116999999999999
"After the House and Senate passed the bill on back-to-back partisan votes, the only folks doing a victory dance Friday were the Democrats who control the General Assembly and the governor's mansion.",39.0,16.55,0.0,19.2,12.66,22.0,10.16,16.0,7.232249999999999
"After the incident, Almaleki drove to Mexico and abandoned his vehicle in Nogales, Peoria police said.",38.32,16.4,0.0,12.2,12.87,12.0,11.34,12.0,6.8575
"""After the rate hike last month, the Reserve Bank said that it wanted to get rates back towards a 'neutral' setting, which has traditionally been five to six per cent,"" Mr Eslake says.",63.36,14.41,0.0,16.8,8.6,17.5,10.06,9.0,6.795030303030302
"After the visit, it instantly became one of my favorite breweries and still is (but you must like that kind of beer).",74.53,10.62,0.0,10.1,6.96,12.0,6.16,7.0,4.722818181818182
"After they liquored up the girl with brandy, they proposed sex, according to several accounts by friends of those who were there but asked not to be named for fear of retaliation.",64.38,15.3,0.0,16.4,9.59,19.0,10.16,10.0,6.426
"After trying a number of complicated things, I happened to uninstall all of OO and reinstall it from the repos (in Adept).",57.61,12.44,0.0,11.2,8.3,13.0,11.19,11.0,6.286454545454545
"After two and a half minutes, the main part of the 327-foot (100-meter) rocket splashed down as planned in the Atlantic Ocean as applause broke out in a relieved and excited NASA control room.",62.35,13.6,0.0,17.6,9.41,18.0,10.9,18.0,7.1506470588235285
Afterwards postgresql should start up as usual and everything's fine.,61.33,8.0,0.0,11.8,14.88,6.0,8.87,8.0,4.828999999999999
"After watching his team hold Charlotte to its franchise-low scoring output (59) in Wednesday's win, Rivers had complained that the offense lagged behind the defense.",54.56,10.0,0.0,17.6,14.34,13.5,11.82,12.0,7.116
"A full review with performance benchmarks will be presented next week, so present any questions you'd like to see answered.",68.1,12.0,0.0,13.1,12.01,12.0,8.58,9.0,5.808999999999999
"A further search of the house and property found two more bodies in a crawl space, and a sixth body was found in a shallow grave outside the home, Stacho said.",73.85,13.69,0.0,13.7,6.86,16.5,6.7,7.0,6.042258064516128
Again in your home directory run this command and post your xsession-errors file.,66.74,8.28,0.0,10.1,11.7,7.5,9.14,8.0,5.318153846153846
Again maybe someone locally can respond.,56.93,9.07,0.0,9.0,12.05,3.0,9.2,9.0,4.551666666666666
"Again, thank you for the work you do and please continue to spread the word for the Hoffman campaign.",86.03,9.71,0.0,8.7,7.43,10.5,7.07,6.0,4.875894736842104
Again: the truth just sounds different.,90.77,2.4,0.0,8.3,10.08,3.0,6.57,3.0,1.6849999999999998
A gain would be the fifth in the past six months.,111.07,4.4,0.0,0.8,1.55,4.5,5.62,1.0,2.3899999999999997
"A good conservative Hispanic candidate, Marco Rubio, is being dismissed in favor of the uber-liberal Charlie Crist in Florida.",26.81,18.13,0.0,14.8,14.45,14.5,13.72,15.0,7.591684210526315
A good location near subways is one of the most important things to us!,74.19,8.46,0.0,5.1,5.73,8.0,7.71,8.0,4.041571428571428
"A group of popular football players and cheerleaders - notably the school's First Couple, Quinn (Dianna Agron) and Finn (Cory Monteith) - have joined the much-scorned glee club, and their friends and coaches (including Jane Lynch's fabulously demonic cheerleader leader) are tormenting them.",21.4,25.18,0.0,27.7,16.84,30.5,14.91,21.0,9.346829268292682
"""A half-point hike can't be ruled out even if the odds are slim,"" says Shane Oliver, chief economist at AMP Capital.",75.54,10.3,0.0,10.6,7.31,12.5,11.45,11.0,4.619047619047619
"A handful of others in southwest Houston and Humble said they had concerns about Locke's past as a fiery civil rights activist, although several voters near Acres Homes found that aspect of his past persuasive.",44.41,15.14,0.0,19.8,11.96,19.5,12.14,20.0,8.476857142857142
"Ahead of the release of new findings from Queensland's Crime and Misconduct Commission on illicit drugs, intelligence director Chris Keen confirmed that cocaine use ""is more prevalent over a wider range of demographics"".",37.98,20.47,0.0,21.9,15.5,22.5,13.41,16.0,8.619272727272728
"Ahead of the typhoon, millions of Filipinos had boarded buses heading to home provinces for this weekend's All Saints Day, when people visit cemeteries to pay respects to dead relatives in this devoutly Roman Catholic nation.",43.4,17.73,0.0,21.4,13.3,21.0,12.44,21.0,9.259444444444444
Aides to the state's congressional delegation noted that Massachusetts is already digging deep into its own accounts to help fund its health care system.,47.12,14.6,0.0,16.1,13.93,15.0,11.41,15.0,6.731333333333334
"Airport Extreme Connection, iBook G4...please help!",48.47,9.07,0.0,17.7,18.78,3.0,14.46,8.0,4.551666666666666
(a) It's probably just a good idea to keep a backup of the original file.,81.63,11.33,0.0,4.6,3.41,8.5,7.54,6.0,4.6739999999999995
"A joint venture between several major networks, Hulu delivers free, ad-supported programming via online streams - an untested model for long-term profitability, at least when it comes to television.",26.14,18.34,0.0,21.2,16.77,20.5,14.05,17.0,8.165571428571427
"A jump in the import index to 52.8 from 50.7 ""shows an acceleration of domestic demand,"" Zhang said.",61.67,11.64,0.0,9.3,7.25,11.0,14.18,9.0,5.765888888888888
"A key change from the vetoed bill would tie new contribution limits to the primary and general elections rather than calendar years, reducing the advantage of incumbents who could raise money around the clock.",36.97,19.48,0.0,20.0,13.01,24.0,9.5,20.0,7.656529411764705
"A Kingwood woman said she supported Locke because of the organizations and individuals who back him, such as business groups and unions.",49.15,14.25,0.0,14.2,12.53,14.0,9.75,14.0,5.504636363636363
"A large debris field has been located, and debris has been collected, he said.",74.19,11.31,0.0,7.4,7.82,8.0,7.71,8.0,4.655857142857142
Alas...,121.22,0.4,0.0,12.0,-22.21,-0.5,19.48,0.0,0.98
A lawyer for Burma's detained opposition leader Aung San Suu Kyi says she has been informed of the upcoming visit of two senior U.S. officials and is preparing to meet them.,48.47,17.56,0.0,15.8,9.3,19.5,12.81,0.0,7.429354838709678
Albany is about 2 hours east of Cooperstown towards Boston and it is easy to get on the Mass turnpike from there.,74.53,10.62,0.0,9.3,6.73,12.0,9.75,7.0,5.504636363636363
"Alistair Darling is expected to confirm over the next few days that assets belonging to the two banks, which are majority-owned by the taxpayer, will be sold off to boost competition.",40.01,20.14,0.0,17.3,11.21,21.5,11.29,11.0,7.429354838709678
Alistair Darling is to trigger a banking revolution in the next few days that will see well-known names return to the High Street.,65.05,12.68,0.0,12.2,9.75,13.5,8.9,10.0,5.577652173913043
"Alistair Darling, the chancellor, warned ministers of tough times ahead and stated that any new projects would need to be ""paid for by savings elsewhere"".",63.02,14.8,0.0,15.6,12.02,15.5,9.93,16.0,5.74
"A little bit of that makes sense to me, but not a lot of it.",98.55,6.0,0.0,0.5,-0.89,6.5,5.43,0.0,2.9539999999999997
"A little Google-fu later and I found that it wasn't a particularly pricey item, but it would be much appreciated by my friend and show that I notice things that matter to him.",54.9,15.62,0.0,15.5,7.73,18.5,9.1,16.0,6.273818181818182
"All 14 of the tanks will be used by the chemical steam generators units that will be installed on the A-3 stand for creating simulated altitudes of up to 100,000 feet, a testing environment for Constellation, initially to validate the performance of the J2-X engine for the upper stage of the new Ares I launch vehicle.",23.1,30.26,0.0,28.8,10.35,39.0,12.9,13.0,10.731428571428571
"All 15 were shot to death, they said.",114.12,3.2,0.0,0.2,0.65,3.0,6.01,0.0,1.9669999999999999
All boosted by the frictionless billing that Apple has created in the App Store.,74.19,11.31,0.0,8.1,9.45,8.0,9.97,10.0,4.655857142857142
"All circles in Queensland support development of the Australia-China friendly and cooperative relationship, Bligh said.",13.95,14.0,0.0,19.0,21.57,11.5,12.8,13.0,6.9673333333333325
"""All hands need to be on deck.""",115.13,2.8,0.0,-1.2,-1.74,2.5,6.24,3.0,1.8259999999999998
All I can do is guess.,116.15,2.4,0.0,-5.2,-5.36,2.0,0.3,0.0,1.6849999999999998
all it is is a system of boardwalks built on the rocks in front of the bridal veil falls (the smaller falls between the american and horseshoe falls that wont kill you if you get close).,68.78,14.4,0.0,16.3,7.15,19.0,8.93,9.0,6.631666666666666
All it needed was a spark - the elements were already there.,68.77,8.04,0.0,5.0,6.3,6.0,8.49,6.0,3.9536363636363636
"All it took for things to lurch out of control, investigators, students and community leaders say, was opportunity - and that came when the girl left the school dance Saturday night, walked by a group of bad boys boozing hard in the unlit courtyard, and accepted their invitation to hang out.",29.19,24.0,0.0,26.4,10.87,31.5,10.85,11.0,9.780999999999999
"All of the early cases were from foreign visitors, though not just from the US.",81.63,8.67,0.0,6.5,6.49,7.5,7.54,6.0,4.6739999999999995
"allright, that might be it.",100.24,2.0,0.0,2.7,2.64,1.5,7.04,3.0,3.264
"All seven aboard the Coast Guard plane are stationed at the Coast Guard Air Station in Sacramento, Calif., where their aircraft was based.",73.51,10.94,0.0,13.8,11.26,12.5,8.21,9.0,5.203739130434782
